Q_ID,QG,QG_Name,Phase,Set,Bloom_Level,Question,Choice_A,Choice_B,Choice_C,Choice_D,Answer,Answer_Explain,Question_Type,Skill_Tag,Is_Diagnostic,Recommended_Course,Sales_Pitch,Pass_Criteria,Progression_Level
QG01-PRE-A-001,QG-01,Attention & Hook Mechanics,Pre,A,Remember,คนดู TikTok ใช้เวลาเฉลี่ยกี่วินาทีก่อนตัดสินใจเลื่อนผ่าน?,8 วินาที,2.3 วินาที,15 วินาที,30 วินาที,B,สถิติ Attention Economy 2025-2026 ระบุว่าใช้เวลาเพียง 2.3 วินาที,MCQ,"Hook,Attention",TRUE,"MICRO EXPRESS,SIGNAL",เรียน Hook ให้คม ก่อนเสียผู้ชมทุกไลฟ์,ถูก=ผ่าน,STARTER
QG01-PRE-A-002,QG-01,Attention & Hook Mechanics,Pre,A,Understand,"""Attention Economy"" ในบริบท Live Commerce หมายถึงอะไร?",การใช้เงินซื้อโฆษณา,การแย่งชิงความสนใจของผู้ชมในเวลาไม่กี่วินาที,การวิเคราะห์ตลาด,การสร้าง Content ยาว,B,Live Commerce ต้องแย่งชิงความสนใจจากแพลตฟอร์มอื่น ในเวลาสั้นมาก,MCQ,"Hook,Attention,Economy",TRUE,SIGNAL,,ถูก=ผ่าน,STARTER
QG01-PRE-A-003,QG-01,Attention & Hook Mechanics,Pre,A,Understand,เหตุผลหลักที่ Live Conversion Rate สูงกว่า Website คือ?,สินค้าราคาถูกกว่า,การโต้ตอบ Real-time + FOMO,โฆษณาเยอะกว่า,ผู้ชมเยอะกว่า,B,การโต้ตอบสดและความรู้สึกเร่งด่วน (FOMO) ทำให้คนตัดสินใจซื้อเร็วกว่า,MCQ,"Hook,CR,FOMO",TRUE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-PRE-A-004,QG-01,Attention & Hook Mechanics,Pre,A,Remember,ถ้า Live CR = 18% และ Website CR = 1.5% — Live สูงกว่ากี่เท่า?,6 เท่า,8 เท่า,12 เท่า,18 เท่า,C,18 ÷ 1.5 = 12 เท่า,MCQ,"CR,KPI",FALSE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-PRE-A-005,QG-01,Attention & Hook Mechanics,Pre,A,Remember,"""Hook Loop"" คืออะไร?",การเปิดเพลงระหว่างไลฟ์,การปล่อย Mini Hook ทุก 15-20 นาที,การหยุดพักระหว่างไลฟ์,การโฆษณาสินค้าซ้ำๆ,B,Hook Loop คือการปล่อย Mini Hook ทุก 15-20 นาที เพื่อดึงผู้ชมที่เริ่มเบื่อกลับมา,MCQ,"Hook,Hook Loop",TRUE,"MICRO EXPRESS,SIGNAL",,ถูก=ผ่าน,STARTER
QG01-PRE-B-001,QG-01,Attention & Hook Mechanics,Pre,B,Remember,ถ้า Live CR = 12% และ Website CR = 1.2% — อัตราส่วน Live:Website คือ?,5:1,8:1,10:1,12:1,C,12 ÷ 1.2 = 10 เท่า,MCQ,"CR,KPI",FALSE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-PRE-B-002,QG-01,Attention & Hook Mechanics,Pre,B,Understand,ข้อใดเป็นตัวอย่าง Curiosity Hook ที่ดีสำหรับครีมกันแดด?,"""ครีมกันแดดดีที่สุดของปี""","""ทำไมครีม 590 บ. ถึงขายดีกว่าตัว 2,000 บ.?""","""สวัสดีค่ะ มาดูครีมนี้กัน""","""ลด 50% วันนี้วันเดียว""",B,Curiosity Hook ต้องทำให้คนสงสัยและอยากรู้คำตอบทันที,MCQ,"Hook,Curiosity Hook",FALSE,SIGNAL,,ถูก=ผ่าน,STARTER
QG01-PRE-B-003,QG-01,Attention & Hook Mechanics,Pre,B,Understand,ข้อใดไม่ใช่ลักษณะของ Grabber ที่ดี?,ชี้ปัญหาที่ผู้ชมกำลังเผชิญ,ใช้ตัวเลขสถิติ,ยาวเกิน 10 วินาที,สร้างความอยากรู้,C,Grabber ต้องสั้น กระชับ ไม่เกิน 3-5 วินาที,MCQ,"Hook,Grabber",FALSE,SIGNAL,,ถูก=ผ่าน,STARTER
QG01-PRE-B-004,QG-01,Attention & Hook Mechanics,Pre,B,Remember,True/False: คนดู TikTok ตัดสินใจเลื่อนผ่านภายใน 8 วินาที,TRUE,FALSE,,,B,False — ใช้เวลาเพียง 2.3 วินาทีเท่านั้น (Attention Economy 2025-2026),True_False,"Hook,Attention",TRUE,MICRO EXPRESS,,ถูก=ผ่าน,STARTER
QG01-DUR-A-001,QG-01,Attention & Hook Mechanics,During,A,Remember,ใน 3 วินาทีแรก โฮสต์ต้องทำอะไรเป็นอันดับแรก?,บอกชื่อสินค้า,ขอบคุณที่เข้ามาดู,หยุดนิ้วผู้ชมด้วยประโยค Grabber,แนะนำตัวเอง,C,3 วินาทีแรกต้องสร้างเหตุผลให้ผู้ชมอยู่ดูต่อ ไม่ใช่แนะนำตัว,MCQ,"Hook,Grabber",FALSE,,,ถูก=ผ่าน,STARTER
QG01-DUR-A-002,QG-01,Attention & Hook Mechanics,During,A,Understand,"""ภูมิแพ้กำลังทำลายชีวิตคุณ มาดูทางออก"" — คือ Hook ประเภทใด?",Benefit Hook,Urgency Hook,Pain Hook,Social Proof Hook,C,Pain Hook คือการชี้ปัญหาที่ผู้ชมกำลังเผชิญอยู่,MCQ,"Hook,Pain Hook",FALSE,,,ถูก=ผ่าน,STARTER
QG01-DUR-A-003,QG-01,Attention & Hook Mechanics,During,A,Remember,Hook Loop ควรปล่อยห่างทุกกี่นาที?,5-10 นาที,15-20 นาที,25-30 นาที,30-40 นาที,B,ทุก 15-20 นาที เพื่อดึงคนที่เริ่มเบื่อกลับมา,MCQ,Hook Loop,FALSE,,,ถูก=ผ่าน,STARTER
QG01-POST-A-001,QG-01,Attention & Hook Mechanics,Post,A,Apply,[Scenario] CCV ตกจาก 200 เหลือ 40 ในนาทีที่ 18 — สาเหตุและแนวทางแก้ไขทันที?,,,,,ขาด Hook Loop → ปล่อย Mini Hook ทันที เช่น 'อย่าเพิ่งออก อีก 2 นาทีมีเซอร์ไพรส์',ระบุสาเหตุ + มีประโยค Hook จริง,Short_Answer,"Hook Loop,CCV",FALSE,,,เกณฑ์: ระบุสาเหตุ + มี Hook จริง,STARTER
QG01-POST-A-002,QG-01,Attention & Hook Mechanics,Post,A,Apply,[คำนวณ] ไลฟ์ 60 นาที Hook Loop ทุก 15 นาที — ต้องปล่อยกี่ครั้ง?,3 ครั้ง,4 ครั้ง,5 ครั้ง,6 ครั้ง,B,"ที่นาทีที่ 0, 15, 30, 45 รวม 4 ครั้ง",MCQ,"Hook Loop,คำนวณ",FALSE,,,ถูก=ผ่าน,STARTER
QG01-POST-A-003,QG-01,Attention & Hook Mechanics,Post,A,Analyze,"[ตัดสิน] ""สวัสดีทุกคน พบกับพี่เจนอีกแล้ว"" — เป็น Grabber ที่ดีหรือไม่? เพราะอะไร?",,,,,ไม่ดี — เป็นการแนะนำตัว ไม่มี Hook ผู้ชมจะเลื่อนผ่านก่อนถึงเนื้อหา,,Short_Answer,"Hook,Grabber",FALSE,,,เกณฑ์: ต้องบอกว่าไม่ดี + ให้เหตุผล,STARTER
QG01-POST-A-004,QG-01,Attention & Hook Mechanics,Post,A,Apply,[คำนวณ] ไลฟ์ 90 นาที Hook Loop ทุก 18 นาที — จะปล่อยกี่ครั้ง?,4 ครั้ง,5 ครั้ง,6 ครั้ง,7 ครั้ง,B,"ที่นาทีที่ 0, 18, 36, 54, 72 รวม 5 ครั้ง",MCQ,"Hook Loop,คำนวณ",FALSE,,,ถูก=ผ่าน,DEVELOPING
QG01-POST-A-005,QG-01,Attention & Hook Mechanics,Post,A,Apply,[เขียน] เขียน Benefit Hook สำหรับ 'น้ำหอมผู้หญิง 890 บาท' 1 ประโยค,,,,,ตัวอย่าง: 'น้ำหอมตัวนี้ทำให้คุณได้รับคำชมทุกวัน หอมทนตลอด 12 ชม. ราคา 890 บ.',,Short_Answer,"Hook,Benefit Hook",FALSE,SIGNAL,,เกณฑ์: มี Benefit ชัดเจน ไม่ใช่แค่บอกราคา,STARTER
QG01-POST-A-006,QG-01,Attention & Hook Mechanics,Post,A,Analyze,"[จับคู่] 'ทำไมครีม 590 บ. ขายดีกว่าตัว 2,000 บ.?' — เป็น Hook ประเภทใด?",Pain Hook,Benefit Hook,Curiosity Hook,Urgency Hook,C,ตั้งคำถามให้อยากรู้คำตอบ = Curiosity Hook,MCQ,Hook Type,FALSE,,,ถูก=ผ่าน,STARTER
QG02-PRE-A-001,QG-02,Hook Loop & FOMO Ladder,Pre,A,Remember,FOMO Ladder ขั้นที่ 1 ทำหน้าที่อะไร?,Countdown Timer,Price Anchor — แสดงราคาเต็มก่อนบอกราคาลด,Scarcity,Social Proof,B,ขั้นที่ 1 คือการสร้าง Price Anchor ให้ผู้ชมเห็นว่า 'ลดจากราคาเท่าไร',MCQ,FOMO Ladder,TRUE,"SIGNAL,MATRIX",เรียน FOMO Ladder ให้ครบ เพิ่ม CR ได้จริง,ถูก=ผ่าน,DEVELOPING
QG02-PRE-A-002,QG-02,Hook Loop & FOMO Ladder,Pre,A,Remember,สีที่จิตวิทยาแนะนำให้ใช้กับ Flash Sale Badge คือ?,สีส้ม,สีเหลือง,สีแดง #FF0000,สีน้ำเงิน,C,สีแดงกระตุ้น Arousal สูงสุด ทำให้ผู้ชมรู้สึกเร่งด่วน,MCQ,"FOMO,สีจิตวิทยา",FALSE,,,ถูก=ผ่าน,DEVELOPING
QG02-PRE-A-003,QG-02,Hook Loop & FOMO Ladder,Pre,A,Remember,FOMO Ladder ขั้นที่ 3 สร้างอะไร?,Countdown Timer,ราคาอ้างอิง,Scarcity (ความขาดแคลน),Social Proof,C,เหลือแค่ 12 ชิ้น!' สร้างความรู้สึกว่าต้องรีบก่อนหมด,MCQ,"FOMO Ladder,Scarcity",FALSE,,,ถูก=ผ่าน,DEVELOPING
QG02-PRE-A-004,QG-02,Hook Loop & FOMO Ladder,Pre,A,Understand,Voucher Stacking (Affiliate + Seller Voucher) ให้ผลอะไรต่อ Algorithm?,+5% Boost,+10% Boost,+15% Algorithm Boost,+20% Boost,C,Voucher Stacking ส่งสัญญาณให้ Algorithm ว่า live กำลัง active,MCQ,"FOMO,Algorithm",FALSE,MATRIX,,ถูก=ผ่าน,DEVELOPING
QG02-PRE-A-005,QG-02,Hook Loop & FOMO Ladder,Pre,A,Remember,True/False: Flash Sale Badge ที่กะพริบ 0.8 วินาที ช่วยเพิ่ม Conversion,TRUE,FALSE,,,A,True — การกะพริบสร้าง Arousal และดึงดูดสายตา,True_False,"FOMO,Flash Sale",FALSE,,,ถูก=ผ่าน,DEVELOPING
QG02-POST-A-001,QG-02,Hook Loop & FOMO Ladder,Post,A,Apply,"[เขียน] เขียนสคริปต์ FOMO 4 ขั้นสำหรับหูฟัง ราคา 2,500 บ. ลดเหลือ 1,290 บ.",,,,,"ขั้น1: 'ปกติ 2,500 บ.' | ขั้น2: 'เหลือเวลาอีก 10 นาที' | ขั้น3: 'สต็อกเหลือแค่ 12 ชิ้น' | ขั้น4: 'มีคนสั่งไปแล้ว 20 คนในห้องนี้'",,Short_Answer,FOMO Ladder,FALSE,,,เกณฑ์: ครบ 4 ขั้น ถูกประเภท,DEVELOPING
QG02-POST-A-002,QG-02,Hook Loop & FOMO Ladder,Post,A,Apply,[คำนวณ] CR ปัจจุบัน 2% หลังใช้ FOMO ครบ 4 ขั้น (+247%) — CR ใหม่จะเป็นเท่าไร?,4.94%,5.47%,6.94%,8.47%,C,2% × (1+2.47) = 2% × 3.47 = 6.94%,MCQ,"FOMO,CR,คำนวณ",FALSE,,,ถูก=ผ่าน,DEVELOPING
QG02-POST-A-003,QG-02,Hook Loop & FOMO Ladder,Post,A,Analyze,[จับคู่] ขั้น FOMO กับหน้าที่ — ขั้น 2 คือ?,Price Anchor,Urgency (Countdown),Scarcity,Social Proof,B,ขั้น 2 = Urgency — ใช้ Countdown Timer สร้างความเร่งด่วน,MCQ,FOMO Ladder,FALSE,,,ถูก=ผ่าน,DEVELOPING
QG02-POST-A-004,QG-02,Hook Loop & FOMO Ladder,Post,A,Analyze,True/False: ควรใช้ Countdown ที่เป็นเท็จเพื่อสร้าง Urgency,TRUE,FALSE,,,B,False — ทำลาย Trust ระยะยาว ผู้ชมจะรู้สึกถูกหลอก,True_False,"FOMO,Trust",FALSE,,,ถูก=ผ่าน,DEVELOPING
QG02-POST-A-005,QG-02,Hook Loop & FOMO Ladder,Post,A,Synthesize,"[เขียน Set-B] เขียน FOMO 4 ขั้นสำหรับเตาอบไฟฟ้า ราคา 3,900 บ. ลดเหลือ 2,490 บ.",,,,,"ขั้น1: 'ปกติ 3,900 บ.' | ขั้น2: 'Flash Sale หมดเที่ยงคืน' | ขั้น3: 'เหลือ 8 ชิ้่น' | ขั้น4: 'มีคนกดสั่งไป 15 ใบใน 5 นาที'",,Short_Answer,FOMO Ladder,FALSE,,,เกณฑ์: ครบ 4 ขั้น สินค้าและตัวเลขต้องต่างจาก Set-A,DEVELOPING
QG03-PRE-A-001,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Understand,Strategic Pause ใช้ตอนไหน?,เมื่อลืมสคริปต์,หยุด 1-2 วินาทีก่อนบอกราคา/ข้อเสนอสำคัญ,เมื่อเสียงหาย,หลังพูดครบ 5 นาที,B,Strategic Pause สร้าง Anticipation ทำให้ผู้ชมรอฟังด้วยความตั้งใจ,MCQ,"Voice,Strategic Pause",TRUE,"SIGNAL,STAGE",เสริมเทคนิคเสียงขั้นสูง เรียน SIGNAL,ถูก=ผ่าน,COMPETENT
QG03-PRE-A-002,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Remember,Dead Air ที่ยอมรับได้ไม่เกินกี่วินาที?,1 วินาที,2 วินาที,3 วินาที,5 วินาที,C,Dead Air >3 วินาที ทำให้ผู้ชมเลื่อนออก,MCQ,"Voice,Dead Air",FALSE,,,ถูก=ผ่าน,COMPETENT
QG03-PRE-A-003,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Remember,3 มิติของ Source Credibility คือ?,Expertise / Trustworthiness / Attractiveness,Speed / Clarity / Volume,Hook / Story / CTA,Pleasure / Arousal / Dominance,A,Source Credibility ของ Hovland et al. ประกอบด้วย 3 มิตินี้,MCQ,"Trust,Credibility",FALSE,,,ถูก=ผ่าน,COMPETENT
QG03-PRE-A-004,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Understand,การยอมรับข้อเสียของสินค้าเพิ่มมิติใดของ Source Credibility?,Expertise,Trustworthiness,Attractiveness,ไม่มีประโยชน์,B,การพูดตรงไปตรงมาแม้แต่เรื่องข้อเสีย สร้างความน่าเชื่อถือ,MCQ,"Trust,Trustworthiness",FALSE,,,ถูก=ผ่าน,COMPETENT
QG03-PRE-A-005,QG-03,"Voice, Camera & Trust Architecture",Pre,A,Understand,เมื่อไหร่ควรใช้ Whisper Trick?,เมื่อต้องการพูดข้อมูลลับ,เมื่อ CCV ลดลงหรือห้องเริ่มเงียบ,เมื่อสินค้าหมด,เมื่อเสียงดัง,B,Whisper ดึงความสนใจด้วยความแตกต่างของโทนเสียง,MCQ,"Voice,Whisper Trick",FALSE,,,ถูก=ผ่าน,COMPETENT
QG03-POST-A-001,QG-03,"Voice, Camera & Trust Architecture",Post,A,Apply,[เขียน] ผู้ชมถาม 'ทำไมครีมแพงจัง' — ตอบด้วยหลัก Trustworthiness 2 ประโยค,,,,,เข้าใจครับ ราคาแพงเพราะส่วนผสมนำเข้า อย.รับรองค่ะ เราไม่ตัดคุณภาพ — ลองดูก่อนได้ มีรับประกัน 30 วัน',,Short_Answer,"Trust,Trustworthiness",FALSE,,,เกณฑ์: ยอมรับข้อกังวล + ให้เหตุผลจริง,COMPETENT
QG03-POST-A-002,QG-03,"Voice, Camera & Trust Architecture",Post,A,Apply,[จับคู่] 'แสดงใบรับรอง อย.' เพิ่มมิติใดของ Source Credibility?,Trustworthiness,Expertise,Attractiveness,ทั้งหมด,B,ใบรับรองและหลักฐานแสดงความเชี่ยวชาญ = Expertise,MCQ,"Trust,Expertise",FALSE,,,ถูก=ผ่าน,COMPETENT
QG03-POST-A-003,QG-03,"Voice, Camera & Trust Architecture",Post,A,Analyze,[Scenario] พูดเร็วต่อเนื่อง 5 นาที ผู้ชมแชท 'พูดเร็วมาก' — แนะนำ 2 วิธีแก้,,,,,1) หายใจทุกวรรค/ประโยค  2) ใช้ Strategic Pause ก่อนข้อมูลสำคัญ เช่น ก่อนบอกราคา,,Short_Answer,"Voice,Pacing",FALSE,,,เกณฑ์: 2 วิธีที่ใช้ได้จริง,COMPETENT
QG03-POST-A-004,QG-03,"Voice, Camera & Trust Architecture",Post,A,Evaluate,True/False: ควรจ้องหน้าจอโทรศัพท์ตัวเองเพื่อดูหน้าตาระหว่างไลฟ์,TRUE,FALSE,,,B,False — ควรจ้องเลนส์กล้องโดยตรง การมองจอตัดการสบตาผู้ชม,True_False,"Camera,Eye-line",FALSE,,,ถูก=ผ่าน,COMPETENT
QG03-POST-A-005,QG-03,"Voice, Camera & Trust Architecture",Post,A,Evaluate,[Practical] บันทึกเสียงพูด 'ราคานี้ 590 บาท' 2 แบบ: ปกติ vs Strategic Pause — ส่งผู้สอนประเมิน,,,,,ส่งไฟล์เสียง — ประเมินโดย Rubric Voice (Rubric ≥3/4 = ผ่าน),,Practical,"Voice,Strategic Pause",FALSE,,,Rubric Voice ≥3/4,COMPETENT
QG04-PRE-A-001,QG-04,Buyer Psychology — S-O-R & PAD Theory,Pre,A,Remember,S-O-R ย่อมาจากอะไร?,Sales-Offer-Result,Stimulus-Organism-Response,System-Output-Report,Story-Object-Reaction,B,S-O-R Framework: Stimulus (สิ่งกระตุ้น) → Organism (จิตใจ) → Response (พฤติกรรม),MCQ,"S-O-R,จิตวิทยา",TRUE,"SIGNAL,FRONTIER",เรียนจิตวิทยาผู้บริโภคเพิ่มเติมใน SIGNAL,ถูก=ผ่าน,COMPETENT
QG04-PRE-A-002,QG-04,Buyer Psychology — S-O-R & PAD Theory,Pre,A,Remember,PAD ย่อมาจากอะไร?,Product-Audience-Design,Pleasure-Arousal-Dominance,Price-Appeal-Delivery,Push-Attract-Drive,B,PAD Theory ของ Mehrabian: Pleasure / Arousal / Dominance,MCQ,PAD Theory,FALSE,,,ถูก=ผ่าน,COMPETENT
QG04-PRE-A-003,QG-04,Buyer Psychology — S-O-R & PAD Theory,Pre,A,Understand,Flow State เกิดเมื่อ PAD ตัวใดถูกกระตุ้นพร้อมกัน?,Pleasure + Dominance,Arousal + Dominance,Pleasure + Arousal,ทั้ง 3 ตัว,C,Pleasure + Arousal พร้อมกัน = Flow State = Impulse Buy,MCQ,"PAD Theory,Flow State",FALSE,,,ถูก=ผ่าน,COMPETENT
QG04-PRE-A-004,QG-04,Buyer Psychology — S-O-R & PAD Theory,Pre,A,Understand,Stimulus ทางสังคมที่ทรงพลังที่สุดใน Live Commerce คือ?,ภาพคมชัด,ตอบแชทเร็วและเป็นกันเอง,Countdown Timer,ราคาถูก,B,การตอบแชทเร็ว สร้าง Social Stimulus ที่แรงที่สุด,MCQ,"S-O-R,Social Stimulus",FALSE,,,ถูก=ผ่าน,COMPETENT
